X1,provinceID,cityID,districtID,validVote,invalidVote,totalVotes,voters,population,name,year,DPP_votes,DPP_elected,KMT_votes,KMT_elected,highest_vote,second_highest_vote,validVote_last,DPP_votes_last,DPP_elected_last,KMT_votes_last,KMT_elected_last,highest_vote_last,second_highest_vote_last,DPP_share,KMT_share,first_share,second_share,DPP_share_last,KMT_share_last,first_share_last,second_share_last,margin_2_DPP_pos,margin_2_KMT_pos,margin_all_DPP_pos,margin_all_KMT_pos,margin_2_DPP_pos_last,margin_2_KMT_pos_last,margin_all_DPP_pos_last,margin_all_KMT_pos_last
21,3,0,2,198315,6839,205154,270338,356694,臺中市第02選區,2012,79730,FALSE,0,FALSE,118585,79730,167960,60582,FALSE,95873,TRUE,95873,60582,0.40203716309911003,0,0.59796283690089,0.40203716309911003,0.3606930221481305,0.5708085258394856,0.5708085258394856,0.3606930221481305,0.40203716309911003,-0.40203716309911003,-0.19592567380178,-0.59796283690089,-0.21011550369135512,0.21011550369135512,-0.21011550369135512,0.21011550369135512
22,3,0,3,172790,3350,176140,230003,305573,臺中市第03選區,2012,64601,FALSE,99400,TRUE,99400,64601,138784,59969,FALSE,76209,TRUE,76209,59969,0.3738700156259043,0.5752647722669136,0.5752647722669136,0.3738700156259043,0.43210312427945585,0.5491194950426562,0.5491194950426562,0.43210312427945585,-0.20139475664100936,0.20139475664100936,-0.20139475664100936,0.20139475664100936,-0.11701637076320037,0.11701637076320037,-0.11701637076320037,0.11701637076320037
23,3,0,4,199005,2824,201829,263073,362790,臺中市第04選區,2012,92213,FALSE,101702,TRUE,101702,92213,NA,0,FALSE,0,FALSE,NA,NA,0.4633702670787166,0.5110524861184392,0.5110524861184392,0.4633702670787166,NA,NA,NA,NA,-0.04768221903972264,0.04768221903972264,-0.04768221903972264,0.04768221903972264,NA,NA,NA,NA
24,3,0,5,224341,2854,227195,301357,394146,臺中市第05選區,2012,91793,FALSE,129822,TRUE,129822,91793,NA,0,FALSE,0,FALSE,NA,NA,0.4091672944312453,0.5786815606598883,0.5786815606598883,0.4091672944312453,NA,NA,NA,NA,-0.16951426622864302,0.16951426622864302,-0.16951426622864302,0.16951426622864302,NA,NA,NA,NA
25,3,0,6,186719,2433,189152,248462,325947,臺中市第06選區,2012,96685,TRUE,84937,FALSE,96685,84937,NA,0,FALSE,0,FALSE,NA,NA,0.5178101853587477,0.45489211060470547,0.5178101853587477,0.45489211060470547,NA,NA,NA,NA,0.06291807475404221,-0.06291807475404221,0.06291807475404221,-0.06291807475404221,NA,NA,NA,NA
26,3,0,7,200799,1750,202549,268042,356659,臺中市第07選區,2012,101006,TRUE,92369,FALSE,101006,92369,NA,0,FALSE,0,FALSE,NA,NA,0.5030204333686921,0.46000727095254457,0.5030204333686921,0.46000727095254457,NA,NA,NA,NA,0.0430131624161475,-0.0430131624161475,0.0430131624161475,-0.0430131624161475,NA,NA,NA,NA
27,3,0,8,154420,1842,156262,203308,264129,臺中市第08選區,2012,60964,FALSE,69136,TRUE,69136,60964,NA,0,FALSE,0,FALSE,NA,NA,0.39479342054138067,0.4477140266804818,0.4477140266804818,0.39479342054138067,NA,NA,NA,NA,-0.052920606139101156,0.052920606139101156,-0.052920606139101156,0.052920606139101156,NA,NA,NA,NA
28,4,0,1,191204,4326,195530,274597,338698,臺南市第01選區,2012,120623,TRUE,46422,FALSE,120623,46422,173023,86983,TRUE,86040,FALSE,86983,86040,0.6308602330495178,0.24278780778644798,0.6308602330495178,0.24278780778644798,0.5027250712333042,0.49727492876669577,0.5027250712333042,0.49727492876669577,0.3880724252630698,-0.3880724252630698,0.3880724252630698,-0.3880724252630698,0.005450142466608465,-0.005450142466608465,0.005450142466608465,-0.005450142466608465
29,4,0,2,212095,3889,215984,291977,365226,臺南市第02選區,2012,144399,TRUE,62794,FALSE,144399,62794,170738,88172,TRUE,82566,FALSE,88172,82566,0.6808222730380254,0.29606544237252175,0.6808222730380254,0.29606544237252175,0.5164169663460976,0.4835830336539025,0.5164169663460976,0.4835830336539025,0.3847568306655037,-0.3847568306655037,0.3847568306655037,-0.3847568306655037,0.03283393269219509,-0.03283393269219509,0.03283393269219509,-0.03283393269219509
30,4,0,3,225884,3098,228982,305200,389881,臺南市第03選區,2012,139301,TRUE,84095,FALSE,139301,84095,NA,0,FALSE,0,FALSE,NA,NA,0.6166926386995095,0.3722928582812417,0.6166926386995095,0.3722928582812417,NA,NA,NA,NA,0.24439978041826782,-0.24439978041826782,0.24439978041826782,-0.24439978041826782,NA,NA,NA,NA
31,4,0,4,217705,3266,220971,294356,382265,臺南市第04選區,2012,115439,TRUE,102266,FALSE,115439,102266,NA,0,FALSE,0,FALSE,NA,NA,0.5302542431271675,0.4697457568728325,0.5302542431271675,0.4697457568728325,NA,NA,NA,NA,0.060508486254335025,-0.060508486254335025,0.060508486254335025,-0.060508486254335025,NA,NA,NA,NA
32,4,0,5,230514,3485,233999,308679,394777,臺南市第05選區,2012,120401,TRUE,106619,FALSE,120401,106619,NA,0,FALSE,0,FALSE,NA,NA,0.5223153474409363,0.46252722177394867,0.5223153474409363,0.46252722177394867,NA,NA,NA,NA,0.05978812566698766,-0.05978812566698766,0.05978812566698766,-0.05978812566698766,NA,NA,NA,NA
33,5,0,1,165540,2251,167791,223797,276034,高雄市第01選區,2012,89913,TRUE,75627,FALSE,89913,75627,158524,65266,FALSE,92417,TRUE,92417,65266,0.5431496919173614,0.45685030808263866,0.5431496919173614,0.45685030808263866,0.4117105296358911,0.5829842799828417,0.5829842799828417,0.4117105296358911,0.08629938383472274,-0.08629938383472274,0.08629938383472274,-0.08629938383472274,-0.17127375034695064,0.17127375034695064,-0.17127375034695064,0.17127375034695064
34,5,0,2,192021,2494,194515,249535,316700,高雄市第02選區,2012,96818,TRUE,92902,FALSE,96818,92902,129808,65604,TRUE,63410,FALSE,65604,63410,0.5042052692153463,0.4838116664323173,0.5042052692153463,0.4838116664323173,0.5053925798101812,0.4884906939479847,0.5053925798101812,0.4884906939479847,0.02039360278302893,-0.02039360278302893,0.02039360278302893,-0.02039360278302893,0.01690188586219643,-0.01690188586219643,0.01690188586219643,-0.01690188586219643
