villID,mayoral,presidential,margin_pr
09007010001,69.89204649938472,61.92214711186086,0
09007010002,69.57376395534291,57.53069767601593,0
09007010004,67.28186408147178,56.959251215482155,1
09007020001,75.85247064894853,54.07686247655324,0
09007020004,72.42026266416511,51.413168870352294,0
09007030001,57.613149958655576,46.61374085311538,0
09007030005,68.47416351266286,47.66355140186916,0
09007040001,79.09646103209832,61.90185518619529,1
09020010001,49.36783348776374,46.111212722594814,2
09020010002,47.544471594931146,45.9732109935842,1
09020010003,48.10521897562069,45.26258546558099,2
09020010004,45.107445090428364,44.30514801943673,2
09020010005,46.79281394655033,42.61015044135878,1
09020010006,47.76960744672508,43.06906954006334,2
09020010007,43.29772036011089,39.804188621367466,2
09020010008,45.66677993371658,43.0056602766829,2
09020020001,47.64190560051686,44.12828109095824,1
09020020002,45.78145943815641,41.84203004864989,1
09020020003,50.49824855082888,45.72929970110722,2
09020020004,49.27785177785178,44.397649414388084,1
09020020005,47.70301641146642,43.21720172363068,2
09020020006,41.64143546404164,40.08036067357655,1
09020020007,42.55501721110398,40.28182647777639,0
09020020008,48.88427365694957,44.41735882379584,2
09020030001,48.039229505544625,47.329471436750765,2
09020030002,47.167361715621354,44.93535502845878,2
09020030003,47.56480991891007,44.92179885336104,2
09020030004,44.131136863433994,43.32082303066785,2
09020030005,46.46994933683405,44.473135459417996,1
09020030006,46.686944433599706,44.6683229637407,3
09020030007,47.49571932612372,41.53003574035663,1
09020030008,46.0034037895609,42.79902587694353,1
09020040001,44.64804082758359,39.74848546169062,0
09020040002,49.79570135036053,43.21721080610632,2
09020040003,45.050672421752196,40.71804020268406,1
09020040004,48.76173130040196,45.2800274972903,2
09020040005,45.157859931969476,41.598657572991215,2
09020040006,46.79742895989444,47.51053523008146,4
09020050001,49.26592755527779,38.73956635855296,1
09020050002,47.134518378398425,38.16012384361243,2
09020050003,47.47178629702697,34.6230407645017,2
09020050004,50.48667097780013,41.21652784527677,2
09020050005,50.921506270961565,37.96135876604697,1
09020060001,58.38757162927461,29.538230626422326,1
09020060002,62.24485452050931,22.115342816129548,1
10002010001,65.19705744431599,71.84828064764736,30
10002010002,57.582719022896534,64.34733763936305,22
10002010008,68.209389369638,74.18590544628447,37
10002010009,76.44192166698215,74.50444893613918,65
10002010010,71.22106133932549,73.0043908822607,61
10002010011,66.57793923317608,72.0446328567489,33
10002010012,71.72658755237431,72.20672437667223,69
10002010013,70.17568017670523,73.32283095997886,61
10002010014,66.72358675182144,72.241257350067,43
10002010015,66.99824056858816,73.08389974805951,38
10002010016,71.557462866758,71.95995597353615,81
10002010017,64.93020011231843,67.19299497226325,40
10002010018,74.52880797834818,74.68203809690881,62
10002010019,75.25465883103962,74.9182781551759,73
10002010021,72.34067350637365,72.90008951992013,52
10002010022,68.07507342607676,72.75185920656587,52
10002010023,69.90148710642447,70.50266915882146,64
10002010024,71.44881643036156,70.96229866862326,71
10002010025,69.0007333904953,70.12203589544616,64
10002010026,70.92240618339113,71.31567407366376,70
10002010027,72.30569580243919,71.6723958305728,76
10002010028,72.09053053756307,73.20922516059812,65
10002010031,70.3552797030945,70.78023186965565,60
10002010032,72.1946829436469,73.16847676313327,67
10002010034,71.5301981711554,74.06625395002209,37
10002010035,65.10943407459514,72.18450787002713,40
10002010036,65.17620037575264,73.53430304967671,27
10002010037,63.77399641179806,72.07779083487407,33
10002010038,66.07967444104483,74.88848779080807,27
10002010039,66.02010879689179,72.84823705932612,35
10002010040,66.4327473851692,73.34367116562831,20
10002010041,65.20293543896827,68.23075936122652,59
10002010042,64.511991087125807,67.41660213403296,59
10002010043,64.99743782727754,71.5443201023553,47
10002010044,60.73709736172224,66.37342224339129,42
10002010045,74.30628261000369,70.589653615694,64
10002010046,62.5185095044108,65.57948107196769,57
10002010047,65.0661897473725,71.75808140543234,52
10002020004,63.93976505355934,72.31344850406776,74
10002020005,64.56621213108741,71.38686927858234,71
10002020006,65.07653905622128,72.41892417416167,85
10002020007,63.29486672602787,71.51896151712539,61
10002020008,66.03515036937308,72.53621511664784,47
10002020009,69.7150930738722,74.4053773752644,64
10002020010,67.89818586204896,77.2522997298035,59
10002020011,65.48536175066839,70.73225199744195,63
10002020016,65.95039036672061,71.79373864092145,54
10002020017,66.98590624466438,71.8969049200816,62
10002020018,66.04071363129854,72.6486215267274,72
10002020019,64.94668788892614,72.3421456628534,53
10002020020,66.37021461703135,74.17088952919227,63
10002020021,52.65964567129631,59.98636453204654,59
10002020022,66.50432195952212,73.49590006417898,62
10002020023,66.46222543623733,72.7739527514752,70
10002020024,68.83713657141519,73.77417019405772,68
10002020025,69.04228325923667,76.41906371537827,45
10002020026,67.44608616015428,74.44273619314995,55
10002020027,67.64908554782114,74.12567528397233,58
10002020028,68.05842823618713,73.0017795206203,77
10002020029,69.93666496042451,75.82719916134876,77
10002020030,67.69519885473218,71.2701269903385,67
10002030001,73.33342190317232,71.04312783422934,78
10002030002,77.01348904772553,72.83844020490608,87
10002030003,68.40313772549901,70.72303993351318,73
10002030004,74.44265348520668,71.20775958188676,81
10002030005,71.16221953857384,68.16382969004628,76
10002030007,70.60495951799584,70.93823598522525,76
10002030008,71.45020387334026,70.30459687007937,65
10002030009,68.59782068966513,69.63597718396744,35
10002030010,67.16794454428654,68.80229190569396,48
10002030011,72.08830412277982,72.240965317380045,38
10002030012,71.63585501263697,72.63273238129253,55
10002030013,73.39921176120927,66.40498061282244,54
10002030014,74.40740820158008,71.68758155206072,42
10002030015,74.76775129454035,71.77416679138611,33
10002030016,72.90753156781973,67.03871943531001,63
10002030017,76.7502515896937,70.5211429426853,66
10002030018,71.96860060487306,71.46516595721029,53
10002030019,67.5443309281999,66.05996709859136,78
10002030020,66.2435305792962,66.06402317731599,68
10002030021,66.17175619901911,63.676677706147494,53
10002030022,65.08950342316605,65.54301976249508,59
10002030023,68.76986280147896,65.98393329354676,82
10002030024,74.34320958843452,65.84153719852077,42
10002030025,68.0661635090942,63.63190565371774,82
10002030026,62.90924195561841,63.771265231685184,93
10002030027,69.4708531339586,65.01645610836944,71
10002040001,71.58056951183089,64.41499539825762,57
10002040002,71.00370931514217,61.75208803225688,34
10002040003,72.71509888297578,61.40918792246734,66
10002040004,69.2946257293184,60.1979376592784,23
10002040005,72.92649819862518,62.71144253418909,23
10002040006,68.52120609911296,60.04482571707341,30
10002040007,74.19143298692309,66.52947517881344,40
10002040008,72.39872338779021,68.3712884200411,17
10002040009,73.51852045158657,66.04216001197186,31
10002040010,78.26856634865659,74.27570124669727,17
10002040011,76.96413134590479,75.15355852220259,14
10002040012,80.46282230303774,74.56834827963694,17
10002040013,71.66914475512955,72.82644197500461,17
10002040014,71.32462457463578,65.10591558583815,33
10002040015,72.30389613864689,70.44056469934938,30
10002040016,73.48626316106858,68.5398222410633,33
10002040017,73.10549436492381,68.11658435541169,39
10002040018,70.25305965503703,68.58630878687757,20
10002040019,80.45750002980853,68.8139966650641,30
10002040020,75.43809410709618,70.62762064137121,29
10002040021,75.13798700257959,69.14444182846225,42
10002040022,75.3899275534763,70.25243769032214,28
10002040023,72.00274307820305,68.92889914921685,48
10002040024,77.11568821067966,60.18125433345202,32
10002050001,70.3012260677106,68.22412038423134,55
10002050002,68.79438150893336,69.96433589931227,54
10002050003,66.06188671021656,70.03031217558393,24
10002050004,66.35050708852927,68.50557854056754,27
10002050005,80.70912900109388,74.82122795619802,61
10002050006,75.7642880047926,74.80937311938018,32
10002050007,76.7538714204131,70.07912883830157,71
10002050008,74.22488564346062,70.3506967096616,79
10002050009,74.9073975340009,72.46158787888012,93
10002050010,74.79687679606263,70.46321051553382,62
10002050011,79.91912457789618,70.72666406912937,68
10002050012,76.08609294982662,67.54699459500459,70
10002050013,77.94269781672648,73.20789187879416,86
10002050014,74.61496030793826,71.53318742569668,79
10002050015,76.28259681871,73.75822719483747,71
10002050016,74.23528313988608,72.66972269915863,88
10002050017,76.26544310944557,71.07976327286414,75
10002050018,78.53211310834797,73.51912710014648,96
10002060001,79.41363730843634,72.76991082029932,64
10002060002,78.47039289339776,71.84386122749484,63
10002060003,81.23506322046369,71.85428175557708,74
10002060004,80.34479728244838,66.94609386273515,78
10002060005,78.83735803942531,71.0352877074507,79
10002060006,77.2079397430665,67.08971282072098,79
10002060007,81.44832434723187,69.29453054762915,87
10002060008,78.53888008094756,71.28807576372999,71
10002060009,79.42684814154201,71.25385129460955,80
10002060010,80.54358198201984,73.4992474291184,75
10002060011,78.19921622490563,71.26536747366809,76
10002060012,79.80340275550333,69.32083494694749,71
10002060013,77.95703645330794,67.33359888919682,70
10002060014,78.06856453679825,71.83649275923999,74
10002070001,63.583801558277855,70.94348076223274,58
10002070002,64.24345545242375,68.03364298363059,78
10002070003,72.33564641212955,74.0412103890903,90
10002070004,67.92326669167724,68.85098833508056,65
10002070005,68.90152387146564,70.04225154185241,87
10002070006,65.8958773659817,67.77756162651121,90
10002070007,68.89123838717958,66.93874382382401,35
10002070008,73.36500405299708,67.48864068238582,87
10002070009,71.14144431779691,69.296773372608385,74
10002070010,73.85570043680936,70.86508286725389,74
10002070011,74.01729995065126,72.2021857660959,93
10002070012,70.12538546485453,69.62155058626419,81
10002070013,71.418244982804,69.01850370430954,83
10002070014,76.12883433725304,72.88233918821548,90
10002070015,77.1934872406109,69.99322692746514,80
10002070016,74.01795442828937,69.09538716487319,93
10002080001,70.25358227236161,74.04307507543125,92
10002080002,72.90349302967272,74.72975298535962,89
10002080003,71.45192197324218,71.94152387297072,88
10002080004,72.2910503028203,71.20052877948004,92
10002080005,76.65872525303217,73.62107403711072,91
10002080006,74.72189330188472,73.75884569349557,81
10002080007,68.35050333649932,71.76244512988579,78
10002080008,68.94170944817421,73.41602594299516,76
10002080009,68.36642870718272,68.06279863546564,78
10002080010,74.96625472582086,68.75251982749407,95
10002080011,78.5370956889307,75.2861989469994,83
10002080012,77.92206904846512,71.09231563604155,91
10002080013,70.26998428350966,69.97123724084983,89
10002080014,74.76721221216876,75.45304486050243,94
10002080015,63.510234264468664,69.81304170133545,84
10002080016,65.69041929321936,72.69946781582834,81
10002080017,66.15183584477464,72.96984110873942,75
10002080018,68.13161040670765,73.88103801894809,76
10002080019,67.55728186428901,71.91715662407242,87
10002080020,68.55448407487857,66.14422301463985,67
10002080021,62.07962013102049,70.21655306434495,81
10002080022,69.69397849908458,74.38816528186591,77
10002080023,64.93895894822921,73.07197343700213,83
10002080024,75.00480898703496,72.12073438413185,94
10002090001,70.84646944763551,72.14051461761568,92
10002090002,70.38631017965298,73.48702217442167,61
10002090003,65.52345680496204,71.789204762827,82
10002090004,65.39101762829286,72.27568433710718,66
