villID,mayoral,presidential,univ_pr
09007010001,74.41077441077441,61.325462746297625,77
09007010002,74.62121212121212,57.214759115833864,62
09007010004,71.41255605381166,55.14590702201559,78
09007020001,81.30434782608695,54.93076613035381,65
09007030001,50.378787878787875,47.412071137487175,71
09007030005,59.71563981042654,47.66355140186916,39
09007040001,76.56641604010025,62.220048797560366,50
09020010001,51.45058210482041,46.98008535666498,72
09020010002,50.32762717400109,47.0752048670171,89
09020010003,50.31408436077015,46.382643540843006,81
09020010004,47.68127318980188,45.23328123228008,78
09020010005,50.80452176382222,44.37636976857892,54
09020010006,50.44519811826421,43.72446837655649,66
09020010007,44.86387647687974,40.46610390515542,59
09020010008,47.81051472816108,43.891478845515536,67
09020020001,49.63570288103314,45.25456994797554,71
09020020002,47.05277803400671,43.19755807815788,41
09020020003,50.01477209364259,47.180323342912104,53
09020020004,50.424644799644796,45.28551518204724,67
09020020005,49.315260813518655,44.786811836479664,44
09020020006,44.33884696300014,41.761808119232825,47
09020020007,44.384118779090585,41.5527843923642,47
09020020008,50.43167364331909,46.05191916121107,39
09020030001,49.15731581932922,48.08248773726393,81
09020030002,48.32965892563328,45.872675062477875,65
09020030003,50.26858982897751,46.80692871567829,59
09020030004,46.53551433005859,44.165931211081805,66
09020030005,48.39103147576222,45.90126706445016,66
09020030006,47.99870073822824,44.93231288430937,71
09020030007,48.289963709513,43.35972911000907,40
09020030008,46.228394232006096,43.140537275234635,54
09020040001,53.333333333333336,41.421195818463715,46
09020040002,56.45621181262729,44.574633525277676,47
09020040003,50.16685205784205,42.1714720524878,54
09020040004,53.90385271053529,45.58026823274448,73
09020040005,52,42.38064208683325,58
09020040006,52.031902772502846,48.582615542010515,50
09020050001,61.04513064133017,40.730103875640694,43
09020050002,57.77511961722488,40.74567905373108,38
09020050003,56.74662668665667,36.39248074860802,43
09020050004,61.32120631881283,42.81582619741279,47
09020050005,64.71935853379152,40.21816959606515,39
09020060001,72.61146496815287,30.41966103724997,41
09020060002,69.78021978021978,24.312635186849025,54
10002010001,65.19705744431599,71.84828064764736,78
10002010002,57.582719022896534,64.34733763936305,79
10002010008,68.209389369638,74.18590544628447,87
10002010009,76.44192166698215,74.50444893613918,58
10002010010,71.22106133932549,73.0043908822607,85
10002010011,66.57793923317608,72.0446328567489,71
10002010012,71.72658755237431,72.20672437667223,50
10002010013,70.17568017670523,73.32283095997886,67
10002010014,66.72358675182144,72.241257350067,74
10002010015,66.99824056858816,73.08389974805951,73
10002010016,71.557462866758,71.95995597353615,27
10002010017,64.93020011231843,67.19299497226325,45
10002010018,74.52880797834818,74.68203809690881,72
10002010019,75.25465883103962,74.9182781551759,70
10002010021,72.34067350637365,72.90008951992013,66
10002010022,68.07507342607676,72.75185920656587,64
10002010023,69.90148710642447,70.50266915882146,53
10002010024,71.44881643036156,70.96229866862326,45
10002010025,69.0007333904953,70.12203589544616,50
10002010026,70.92240618339113,71.31567407366376,50
10002010027,72.30569580243919,71.6723958305728,40
10002010028,72.09053053756307,73.20922516059812,47
10002010031,70.3552797030945,70.78023186965565,54
10002010032,72.1946829436469,73.16847676313327,53
10002010034,71.5301981711554,74.06625395002209,75
10002010035,65.10943407459514,72.18450787002713,78
10002010036,65.17620037575264,73.53430304967671,81
10002010037,63.77399641179806,72.07779083487407,80
10002010038,66.07967444104483,74.88848779080807,91
10002010039,66.02010879689179,72.84823705932612,86
10002010040,66.4327473851692,73.34367116562831,79
10002010041,65.20293543896827,68.23075936122652,85
10002010042,64.511991087125807,67.41660213403296,75
10002010043,64.99743782727754,71.5443201023553,92
10002010044,60.73709736172224,66.37342224339129,71
10002010045,74.30628261000369,70.589653615694,78
10002010046,62.5185095044108,65.57948107196769,66
10002010047,65.0661897473725,71.75808140543234,94
10002020004,63.93976505355934,72.31344850406776,62
10002020005,64.56621213108741,71.38686927858234,62
10002020006,65.07653905622128,72.41892417416167,51
10002020007,63.29486672602787,71.51896151712539,57
10002020008,66.03515036937308,72.53621511664784,66
10002020009,69.7150930738722,74.4053773752644,67
10002020010,67.89818586204896,77.2522997298035,82
10002020011,65.48536175066839,70.73225199744195,54
10002020016,65.95039036672061,71.79373864092145,64
10002020017,66.98590624466438,71.8969049200816,50
10002020018,66.04071363129854,72.6486215267274,74
10002020019,64.94668788892614,72.3421456628534,73
10002020020,66.37021461703135,74.17088952919227,76
10002020021,52.65964567129631,59.98636453204654,66
10002020022,66.50432195952212,73.49590006417898,77
10002020023,66.46222543623733,72.7739527514752,64
10002020024,68.83713657141519,73.77417019405772,72
10002020025,69.04228325923667,76.41906371537827,87
10002020026,67.44608616015428,74.44273619314995,80
10002020027,67.64908554782114,74.12567528397233,63
10002020028,68.05842823618713,73.0017795206203,54
10002020029,69.93666496042451,75.82719916134876,59
10002020030,67.69519885473218,71.2701269903385,44
10002030001,73.33342190317232,71.04312783422934,27
10002030002,77.01348904772553,72.83844020490608,26
10002030003,68.40313772549901,70.72303993351318,37
10002030004,74.44265348520668,71.20775958188676,18
10002030005,71.16221953857384,68.16382969004628,23
10002030007,70.60495951799584,70.93823598522525,38
10002030008,71.45020387334026,70.30459687007937,31
10002030009,68.59782068966513,69.63597718396744,40
10002030010,67.16794454428654,68.80229190569396,41
10002030011,72.08830412277982,72.240965317380045,51
10002030012,71.63585501263697,72.63273238129253,52
10002030013,73.39921176120927,66.40498061282244,26
10002030014,74.40740820158008,71.68758155206072,39
10002030015,74.76775129454035,71.77416679138611,26
10002030016,72.90753156781973,67.03871943531001,9
10002030017,76.7502515896937,70.5211429426853,19
10002030018,71.96860060487306,71.46516595721029,34
10002030019,67.5443309281999,66.05996709859136,19
10002030020,66.2435305792962,66.06402317731599,9
10002030021,66.17175619901911,63.676677706147494,17
10002030022,65.08950342316605,65.54301976249508,19
10002030023,68.76986280147896,65.98393329354676,13
10002030024,74.34320958843452,65.84153719852077,8
10002030025,68.0661635090942,63.63190565371774,14
10002030026,62.90924195561841,63.771265231685184,4
10002030027,69.4708531339586,65.01645610836944,48
10002040001,71.58056951183089,64.41499539825762,6
10002040002,71.00370931514217,61.75208803225688,5
10002040003,72.71509888297578,61.40918792246734,12
10002040004,69.2946257293184,60.1979376592784,6
10002040005,72.92649819862518,62.71144253418909,5
10002040006,68.52120609911296,60.04482571707341,11
10002040007,74.19143298692309,66.52947517881344,22
10002040008,72.39872338779021,68.3712884200411,41
10002040009,73.51852045158657,66.04216001197186,22
10002040010,78.26856634865659,74.27570124669727,64
10002040011,76.96413134590479,75.15355852220259,43
10002040012,80.46282230303774,74.56834827963694,57
10002040013,71.66914475512955,72.82644197500461,58
10002040014,71.32462457463578,65.10591558583815,14
10002040015,72.30389613864689,70.44056469934938,52
10002040016,73.48626316106858,68.5398222410633,51
10002040017,73.10549436492381,68.11658435541169,28
10002040018,70.25305965503703,68.58630878687757,29
10002040019,80.45750002980853,68.8139966650641,25
10002040020,75.43809410709618,70.62762064137121,43
10002040021,75.13798700257959,69.14444182846225,33
10002040022,75.3899275534763,70.25243769032214,32
10002040023,72.00274307820305,68.92889914921685,28
10002040024,77.11568821067966,60.18125433345202,10
10002050001,68.76990192879103,68.22412038423134,32
10002050002,66.45857060502524,69.96433589931227,54
10002050003,65.04442522484078,70.03031217558393,66
10002050004,64.98642533620156,68.50557854056754,60
10002050005,79.56603359524458,74.82122795619802,36
10002050006,74.51910725754657,74.80937311938018,53
10002050007,75.19764088166394,70.07912883830157,29
10002050008,72.67680401444679,70.3506967096616,22
10002050009,72.65807780051452,72.46158787888012,36
10002050010,70.28324551346351,70.46321051553382,27
10002050011,76.38676586145829,70.72666406912937,9
10002050012,71.63829693389745,67.54699459500459,31
10002050013,76.39321339175638,73.20789187879416,36
10002050014,72.27699324192352,71.53318742569668,32
10002050015,74.93022434198906,73.75822719483747,41
10002050016,72.64639237313754,72.66972269915863,35
10002050017,74.79473486781251,71.07976327286414,9
10002050018,75.52650689905593,73.51912710014648,16
10002060001,78.28601299771887,72.76991082029932,51
10002060002,79.78892267342998,71.84386122749484,28
10002060003,81.76199460419497,71.85428175557708,19
10002060004,80.29867355114395,66.94609386273515,14
10002060005,78.30025689489287,71.0352877074507,17
10002060006,76.14303544241433,67.08971282072098,14
10002060007,82.08410268246396,69.29453054762915,13
10002060008,77.5208838673648,71.28807576372999,31
10002060009,78.11638142733008,71.25385129460955,35
10002060010,80.14531360068032,73.4992474291184,38
10002060011,77.62301386354298,71.26536747366809,35
10002060012,80.09345364781811,69.32083494694749,26
10002060013,77.0413126118068,67.33359888919682,23
10002060014,78.61078331313388,71.83649275923999,38
10002070001,64.14861377866703,70.94348076223274,59
10002070002,63.9924646387701,68.03364298363059,31
10002070003,70.28844549689867,74.0412103890903,49
10002070004,67.65507118666012,68.85098833508056,24
10002070005,68.76032478405594,70.04225154185241,35
10002070006,64.46881604897254,67.77756162651121,16
10002070007,69.29880261248186,66.93874382382401,15
10002070008,71.88961134265352,67.48864068238582,2
10002070009,68.9413568985882,69.296773372608385,26
10002070010,72.36794555967262,70.86508286725389,37
10002070011,72.84125096717202,72.2021857660959,29
10002070012,70.37232216170364,69.62155058626419,31
10002070013,70.09479811353049,69.01850370430954,15
10002070014,74.04084822334731,72.88233918821548,26
10002070015,77.32483467235065,69.99322692746514,18
10002070016,72.81904633777455,69.09538716487319,8
10002080001,72.57614060430961,74.04307507543125,41
10002080002,73.71765565189162,74.72975298535962,51
10002080003,70.05101728822147,71.94152387297072,35
10002080004,72.36062608714184,71.20052877948004,28
10002080005,74.93283926076373,73.62107403711072,38
10002080006,72.82304314586045,73.75884569349557,35
10002080007,67.58053399983777,71.76244512988579,59
